value_rank,player,team,pos,age,salary_millions,vorp,ws,bpm,vorp_per_million,position_avg_vorp,vorp_above_position,position_adj_value,expected_salary_millions,overpay_millions,value_tier,pts_per_game,mp_per_game,g
1,Collin Gillespie,PHO,PG,26.0,2.3,2.6,6.2,2.5,1.1304,0.9902777777777777,1.61,0.7,24.24,-21.94,Elite Value,12.7,28.5,80
2,Neemias Queta,BOS,C,26.0,2.35,2.4,9.0,2.8,1.0213,1.0864864864864865,1.314,0.5591,22.98,-20.63,Elite Value,10.2,25.3,76
3,Cam Spencer,MEM,SG,25.0,2.54,1.8,5.3,2.2,0.7087,0.4457142857142857,1.354,0.5331,19.22,-16.68,Elite Value,11.1,23.8,72
4,Javonte Green,DET,SG,32.0,2.3,1.5,4.7,2.1,0.6522,0.4457142857142857,1.054,0.4583,17.34,-15.04,Elite Value,6.9,17.6,82
5,Sandro Mamukelashvili,TOR,C,26.0,2.46,2.1,6.2,2.8,0.8537,1.0864864864864865,1.014,0.4122,21.1,-18.64,Elite Value,11.2,21.9,80
6,Jalen Duren,DET,C,22.0,6.48,3.5,11.0,5.0,0.5401,1.0864864864864865,2.414,0.3725,29.87,-23.39,Elite Value,19.5,28.2,70
7,Victor Wembanyama,SAS,C,22.0,13.38,6.0,10.0,10.7,0.4484,1.0864864864864865,4.914,0.3673,45.54,-32.16,Elite Value,25.0,29.2,64
8,Julian Champagnie,SAS,SF,24.0,3.0,1.9,6.2,1.4,0.6333,0.8842857142857142,1.016,0.3387,19.85,-16.85,Elite Value,11.1,27.6,82
9,Ajay Mitchell,OKC,SG,23.0,3.0,1.4,4.8,1.9,0.4667,0.4457142857142857,0.954,0.318,16.72,-13.72,Elite Value,13.6,25.8,57
10,Dru Smith,MIA,SG,28.0,2.38,1.2,3.0,2.2,0.5042,0.4457142857142857,0.754,0.3168,15.46,-13.08,Elite Value,5.6,16.3,70
11,Moussa Diabaté,CHO,C,24.0,2.27,1.8,7.4,1.7,0.793,1.0864864864864865,0.714,0.3145,19.22,-16.95,Elite Value,7.9,26.0,73
12,Gary Payton II,GSW,SG,33.0,2.3,1.1,3.5,1.9,0.4783,0.4457142857142857,0.654,0.2843,14.84,-12.54,Elite Value,7.5,15.6,73
13,Payton Pritchard,BOS,PG,28.0,7.23,2.8,8.5,2.3,0.3873,0.9902777777777777,1.81,0.2503,25.49,-18.26,Elite Value,17.0,32.4,79
14,Amen Thompson,HOU,PG,23.0,9.69,3.4,10.3,2.6,0.3509,0.9902777777777777,2.41,0.2487,29.25,-19.56,Elite Value,18.3,37.4,79
15,Brandin Podziemski,GSW,SG,22.0,3.69,1.3,5.1,0.2,0.3523,0.4457142857142857,0.854,0.2314,16.09,-12.4,Elite Value,13.8,28.5,82
16,Kon Knueppel,CHO,SF,20.0,10.02,3.1,8.0,2.8,0.3094,0.8842857142857142,2.216,0.2212,27.37,-17.35,Elite Value,18.5,31.5,81
17,Jordan Goodwin,PHO,PG,27.0,2.35,1.5,3.9,1.8,0.6383,0.9902777777777777,0.51,0.217,17.34,-14.99,Elite Value,8.7,22.5,70
18,Cason Wallace,OKC,SG,22.0,5.82,1.7,5.2,1.2,0.2921,0.4457142857142857,1.254,0.2155,18.6,-12.78,Elite Value,8.6,26.6,77
19,Dyson Daniels,ATL,SG,22.0,7.71,2.1,6.6,1.3,0.2724,0.4457142857142857,1.654,0.2145,21.1,-13.39,Elite Value,11.9,33.2,76
20,Donovan Clingan,POR,C,21.0,7.18,2.6,8.6,3.0,0.3621,1.0864864864864865,1.514,0.2109,24.24,-17.06,Elite Value,12.1,27.2,77
21,Reed Sheppard,HOU,SG,21.0,10.6,2.5,5.9,2.7,0.2358,0.4457142857142857,2.054,0.1938,23.61,-13.01,Elite Value,13.5,26.2,82
22,Deni Avdija,POR,SF,25.0,14.38,3.5,7.0,4.3,0.2434,0.8842857142857142,2.616,0.1819,29.87,-15.49,Elite Value,24.2,33.3,66
23,Chet Holmgren,OKC,PF,23.0,13.73,3.1,9.1,4.2,0.2258,0.61375,2.486,0.1811,27.37,-13.64,Elite Value,17.1,28.9,69
24,Shai Gilgeous-Alexander,OKC,PG,27.0,38.33,7.8,15.2,11.7,0.2035,0.9902777777777777,6.81,0.1777,56.82,-18.49,Elite Value,31.1,33.2,68
25,Baylor Scheierman,BOS,SG,25.0,2.62,0.9,3.8,0.6,0.3435,0.4457142857142857,0.454,0.1733,13.58,-10.96,Elite Value,5.5,18.6,77
26,Ausar Thompson,DET,SF,23.0,8.78,2.4,5.7,3.1,0.2733,0.8842857142857142,1.516,0.1727,22.98,-14.2,Elite Value,9.9,26.0,73
27,Josh Minott,BRK,PF,23.0,2.38,1.0,2.4,2.5,0.4202,0.61375,0.386,0.1622,14.21,-11.83,Elite Value,7.4,17.0,49
28,Kel'el Ware,MIA,C,21.0,4.44,1.8,6.2,2.1,0.4054,1.0864864864864865,0.714,0.1608,19.22,-14.78,Elite Value,11.1,22.1,77
29,Nikola Jokić,DEN,C,30.0,55.22,9.2,14.9,14.2,0.1666,1.0864864864864865,8.114,0.1469,65.59,-10.37,Elite Value,27.7,34.8,65
30,Oso Ighodaro,PHO,PF,23.0,1.96,0.9,4.7,0.1,0.4592,0.61375,0.286,0.1459,13.58,-11.62,Elite Value,6.5,22.0,82
31,Ryan Kalkbrenner,CHO,C,24.0,2.3,1.4,5.7,1.8,0.6087,1.0864864864864865,0.314,0.1365,16.72,-14.42,Elite Value,7.6,21.4,69
32,Jaylon Tyson,CLE,SG,23.0,3.49,0.9,4.0,0.1,0.2579,0.4457142857142857,0.454,0.1301,13.58,-10.09,Elite Value,13.2,26.9,66
33,Ayo Dosunmu,MIN,SG,26.0,7.52,1.4,4.9,1.0,0.1862,0.4457142857142857,0.954,0.1269,16.72,-9.2,Good Value,14.8,27.3,69
34,Luka Dončić,LAL,PG,26.0,46.0,6.6,9.5,9.3,0.1435,0.9902777777777777,5.61,0.122,49.3,-3.3,Good Value,33.5,35.8,64
35,Austin Reaves,LAL,SG,27.0,13.94,2.1,5.6,2.8,0.1506,0.4457142857142857,1.654,0.1187,21.1,-7.16,Good Value,23.3,34.5,51
36,Tim Hardaway Jr.,DEN,SG,33.0,2.3,0.7,4.4,-0.7,0.3043,0.4457142857142857,0.254,0.1104,12.33,-10.03,Elite Value,13.5,26.6,80
37,Nickeil Alexander-Walker,ATL,SG,27.0,15.16,2.1,6.3,1.2,0.1385,0.4457142857142857,1.654,0.1091,21.1,-5.94,Good Value,20.8,33.4,78
38,Derrick White,BOS,SG,31.0,28.1,3.5,7.0,3.2,0.1246,0.4457142857142857,3.054,0.1087,29.87,-1.77,Good Value,16.5,34.1,77
39,Stephon Castle,SAS,PG,21.0,9.56,2.0,5.8,1.9,0.2092,0.9902777777777777,1.01,0.1056,20.48,-10.92,Elite Value,16.7,30.0,68
40,Jaylin Williams,OKC,PF,23.0,8.45,1.5,4.1,2.7,0.1775,0.61375,0.886,0.1049,17.34,-8.89,Good Value,7.2,19.6,65
41,Miles McBride,NYK,SG,25.0,4.33,0.9,2.7,1.2,0.2079,0.4457142857142857,0.454,0.1048,13.58,-9.25,Good Value,12.0,26.3,41
42,Donte DiVincenzo,MIN,SG,29.0,11.99,1.7,5.2,0.8,0.1418,0.4457142857142857,1.254,0.1046,18.6,-6.61,Good Value,12.2,30.4,82
43,Jalen Johnson,ATL,SF,24.0,30.0,4.0,7.5,4.2,0.1333,0.8842857142857142,3.116,0.1039,33.01,-3.01,Good Value,22.5,35.2,72
44,Tyrese Maxey,PHI,PG,25.0,37.96,4.9,8.7,5.4,0.1291,0.9902777777777777,3.91,0.103,38.65,-0.69,Good Value,28.3,38.0,70
45,Isaiah Joe,OKC,SG,26.0,12.36,1.7,5.5,2.5,0.1375,0.4457142857142857,1.254,0.1015,18.6,-6.24,Good Value,11.1,21.2,71
46,Paolo Banchero,ORL,PF,23.0,15.33,2.1,5.0,1.4,0.137,0.61375,1.486,0.0969,21.1,-5.77,Good Value,22.2,34.8,72
47,Paul Reed,DET,C,26.0,5.34,1.6,4.5,5.3,0.2996,1.0864864864864865,0.514,0.0963,17.97,-12.63,Elite Value,7.8,13.9,65
48,Craig Porter Jr.,CLE,PG,25.0,2.22,1.2,2.8,2.0,0.5405,0.9902777777777777,0.21,0.0946,15.46,-13.24,Elite Value,4.5,17.9,64
49,Mikal Bridges,NYK,SF,29.0,24.9,3.2,8.0,2.7,0.1285,0.8842857142857142,2.316,0.093,28.0,-3.1,Good Value,14.4,32.8,82
50,Scottie Barnes,TOR,PF,24.0,38.66,4.2,7.8,4.2,0.1086,0.61375,3.586,0.0928,34.26,4.4,Good Value,18.1,33.5,80
51,Kawhi Leonard,LAC,SF,34.0,50.0,5.3,9.2,8.0,0.106,0.8842857142857142,4.416,0.0883,41.15,8.85,Poor Value,27.9,32.1,65
52,Saddiq Bey,NOP,SF,26.0,6.12,1.4,5.4,0.5,0.2288,0.8842857142857142,0.516,0.0843,16.72,-10.6,Elite Value,17.7,31.2,72
53,Jalen Williams,OKC,SG,24.0,6.58,1.0,3.0,2.1,0.152,0.4457142857142857,0.554,0.0842,14.21,-7.63,Good Value,17.1,28.4,33
54,Luke Kornet,SAS,C,30.0,11.0,2.0,6.9,3.6,0.1818,1.0864864864864865,0.914,0.0831,20.48,-9.48,Good Value,6.5,21.0,68
55,Josh Hart,NYK,SF,30.0,19.47,2.5,6.1,3.0,0.1284,0.8842857142857142,1.616,0.083,23.61,-4.14,Good Value,12.0,30.2,66
56,Marvin Bagley III,DAL,PF,26.0,2.3,0.8,3.8,0.8,0.3478,0.61375,0.186,0.0809,12.96,-10.66,Elite Value,10.5,20.0,60
56,Donovan Mitchell,CLE,SG,29.0,46.39,4.2,8.2,5.1,0.0905,0.4457142857142857,3.754,0.0809,34.26,12.13,Poor Value,27.9,33.5,70
58,Cooper Flagg,DAL,SF,19.0,13.83,2.0,3.8,1.4,0.1446,0.8842857142857142,1.116,0.0807,20.48,-6.65,Good Value,21.0,33.5,70
59,Cade Cunningham,DET,PG,24.0,46.39,4.6,7.9,6.3,0.0992,0.9902777777777777,3.61,0.0778,36.77,9.62,Poor Value,23.9,33.9,64
60,Ryan Rollins,MIL,PG,23.0,4.0,1.3,3.4,0.2,0.325,0.9902777777777777,0.31,0.0775,16.09,-12.09,Elite Value,17.3,32.1,74
61,Alperen Şengün,HOU,C,23.0,33.94,3.7,8.0,4.2,0.109,1.0864864864864865,2.614,0.077,31.13,2.81,Good Value,20.4,33.3,72
62,Brandon Miller,CHO,SF,23.0,11.97,1.8,4.5,1.6,0.1504,0.8842857142857142,0.916,0.0765,19.22,-7.25,Good Value,20.2,30.3,65
63,Keyonte George,UTA,PG,22.0,4.28,1.3,3.3,0.9,0.3037,0.9902777777777777,0.31,0.0724,16.09,-11.81,Elite Value,23.6,33.1,54
64,Kevin Durant,HOU,SF,37.0,54.71,4.7,10.7,4.5,0.0859,0.8842857142857142,3.816,0.0697,37.39,17.32,Overpaid,26.0,36.4,78
65,Dylan Harper,SAS,SG,19.0,12.37,1.3,4.2,1.4,0.1051,0.4457142857142857,0.854,0.069,16.09,-3.72,Good Value,11.8,22.6,69
66,Trey Murphy III,NOP,SF,25.0,25.0,2.6,6.0,2.4,0.104,0.8842857142857142,1.716,0.0686,24.24,0.76,Good Value,21.5,35.5,66
67,Sam Hauser,BOS,PF,28.0,10.04,1.3,5.0,0.6,0.1295,0.61375,0.686,0.0683,16.09,-6.05,Good Value,9.2,24.8,78
68,Jamal Murray,DEN,PG,28.0,46.39,4.1,9.5,4.1,0.0884,0.9902777777777777,3.11,0.067,33.63,12.76,Poor Value,25.4,35.4,75
68,Keon Ellis,CLE,SG,26.0,2.3,0.6,2.2,-0.5,0.2609,0.4457142857142857,0.154,0.067,11.71,-9.41,Good Value,6.7,20.5,72
68,Anthony Edwards,MIN,SG,24.0,45.55,3.5,6.5,4.5,0.0768,0.4457142857142857,3.054,0.067,29.87,15.68,Overpaid,28.8,35.0,61
71,James Harden,CLE,PG,36.0,39.18,3.6,7.7,3.9,0.0919,0.9902777777777777,2.61,0.0666,30.5,8.68,Poor Value,23.6,34.8,70
72,Jalen Brunson,NYK,PG,29.0,34.94,3.3,8.8,3.1,0.0944,0.9902777777777777,2.31,0.0661,28.62,6.32,Poor Value,26.0,35.0,74
73,Tre Jones,CHI,PG,26.0,8.0,1.5,5.7,1.3,0.1875,0.9902777777777777,0.51,0.0638,17.34,-9.34,Good Value,14.1,27.0,65
74,LaMelo Ball,CHO,PG,24.0,37.96,3.4,6.2,4.7,0.0896,0.9902777777777777,2.41,0.0635,29.25,8.71,Poor Value,20.1,28.0,72
75,Grayson Allen,PHO,SG,30.0,16.88,1.5,3.9,2.1,0.0889,0.4457142857142857,1.054,0.0624,17.34,-0.46,Good Value,16.5,28.8,51
76,Collin Murray-Boyles,TOR,PF,20.0,6.33,1.0,4.0,1.0,0.158,0.61375,0.386,0.061,14.21,-7.88,Good Value,8.5,21.9,57
77,Royce O'Neale,PHO,SF,32.0,10.12,1.5,4.6,0.7,0.1482,0.8842857142857142,0.616,0.0609,17.34,-7.22,Good Value,9.8,28.4,78
78,Kevin Porter Jr.,MIL,PG,25.0,5.13,1.3,2.8,2.1,0.2534,0.9902777777777777,0.31,0.0604,16.09,-10.96,Elite Value,17.4,33.2,38
79,John Konchar,UTA,SG,29.0,6.16,0.8,2.4,0.9,0.1299,0.4457142857142857,0.354,0.0575,12.96,-6.8,Good Value,4.4,19.9,56
80,Jaime Jaquez Jr.,MIA,SF,24.0,3.86,1.1,4.2,0.1,0.285,0.8842857142857142,0.216,0.056,14.84,-10.98,Elite Value,15.4,28.3,75
81,Julius Randle,MIN,PF,31.0,30.86,2.3,7.4,1.5,0.0745,0.61375,1.686,0.0546,22.36,8.5,Poor Value,21.1,33.0,79
82,Norman Powell,MIA,SG,32.0,20.48,1.5,4.0,1.6,0.0732,0.4457142857142857,1.054,0.0515,17.34,3.14,Good Value,21.7,29.6,58
83,Miles Bridges,CHO,PF,27.0,25.0,1.9,6.5,1.1,0.076,0.61375,1.286,0.0514,19.85,5.15,Poor Value,17.1,31.0,77
84,Desmond Bane,ORL,SG,27.0,36.73,2.3,7.4,1.4,0.0626,0.4457142857142857,1.854,0.0505,22.36,14.37,Poor Value,20.1,33.6,82
85,Mark Williams,PHO,C,24.0,6.28,1.4,6.3,2.0,0.2229,1.0864864864864865,0.314,0.05,16.72,-10.44,Elite Value,11.7,23.6,60
86,VJ Edgecombe,PHI,SG,20.0,11.11,1.0,4.4,-0.5,0.09,0.4457142857142857,0.554,0.0499,14.21,-3.1,Good Value,16.0,35.0,75
87,Bones Hyland,MIN,PG,25.0,2.3,1.1,3.1,1.7,0.4783,0.9902777777777777,0.11,0.0478,14.84,-12.54,Elite Value,8.5,16.6,71
88,Immanuel Quickley,TOR,PG,26.0,32.5,2.5,6.5,2.4,0.0769,0.9902777777777777,1.51,0.0465,23.61,8.89,Poor Value,16.4,31.9,70
89,Luka Garza,BOS,C,27.0,2.46,1.2,5.3,2.4,0.4878,1.0864864864864865,0.114,0.0463,15.46,-13.0,Elite Value,8.1,16.2,69
90,Robert Williams,POR,C,28.0,13.29,1.7,4.5,4.5,0.1279,1.0864864864864865,0.614,0.0462,18.6,-5.31,Good Value,6.7,17.1,59
91,Jaylen Brown,BOS,SF,29.0,53.14,3.3,6.9,3.3,0.0621,0.8842857142857142,2.416,0.0455,28.62,24.52,Overpaid,28.7,34.4,71
92,Cedric Coward,MEM,SG,22.0,5.72,0.7,2.5,-0.2,0.1224,0.4457142857142857,0.254,0.0444,12.33,-6.61,Good Value,13.6,25.8,62
93,Giannis Antetokounmpo,MIL,PF,31.0,54.13,3.0,5.0,9.5,0.0554,0.61375,2.386,0.0441,26.74,27.39,Overpaid,27.6,28.9,36
94,Evan Mobley,CLE,PF,24.0,46.39,2.6,6.5,3.0,0.056,0.61375,1.986,0.0428,24.24,22.15,Overpaid,18.2,31.9,65
95,Zion Williamson,NOP,PF,25.0,39.45,2.3,6.1,2.9,0.0583,0.61375,1.686,0.0427,22.36,17.09,Overpaid,21.0,29.7,62
96,OG Anunoby,NYK,PF,28.0,39.57,2.3,6.3,2.0,0.0581,0.61375,1.686,0.0426,22.36,17.21,Overpaid,16.7,33.2,67
97,Ja'Kobe Walter,TOR,SG,21.0,3.64,0.6,3.7,-0.3,0.1648,0.4457142857142857,0.154,0.0423,11.71,-8.07,Good Value,7.5,20.5,72
98,Luke Kennard,LAL,SG,29.0,11.0,0.9,4.5,0.1,0.0818,0.4457142857142857,0.454,0.0413,13.58,-2.58,Good Value,8.4,21.6,78
99,Josh Giddey,CHI,PG,23.0,25.0,2.0,3.2,2.7,0.08,0.9902777777777777,1.01,0.0404,20.48,4.52,Good Value,17.0,32.1,54
100,Ty Jerome,MEM,SG,28.0,8.78,0.8,1.3,7.7,0.0911,0.4457142857142857,0.354,0.0403,12.96,-4.18,Good Value,19.7,22.6,15
101,Mitchell Robinson,NYK,C,27.0,12.95,1.6,5.8,3.5,0.1236,1.0864864864864865,0.514,0.0397,17.97,-5.02,Good Value,5.7,19.6,60
102,Jordan Walsh,BOS,PF,21.0,2.22,0.7,3.8,0.2,0.3153,0.61375,0.086,0.0387,12.33,-10.11,Elite Value,5.4,17.8,68
102,Toumani Camara,POR,PF,25.0,2.22,0.7,4.8,-1.0,0.3153,0.61375,0.086,0.0387,12.33,-10.11,Elite Value,13.4,33.3,82
104,De'Aaron Fox,SAS,PG,28.0,37.1,2.4,6.4,2.2,0.0647,0.9902777777777777,1.41,0.038,22.98,14.12,Poor Value,18.6,31.0,72
105,Karl-Anthony Towns,NYK,C,30.0,53.14,3.1,9.5,3.3,0.0583,1.0864864864864865,2.014,0.0379,27.37,25.77,Overpaid,20.1,31.0,75
106,Duncan Robinson,DET,SF,31.0,16.83,1.5,6.1,0.8,0.0891,0.8842857142857142,0.616,0.0366,17.34,-0.51,Good Value,12.2,27.4,77
107,LeBron James,LAL,SF,41.0,52.63,2.8,5.4,3.5,0.0532,0.8842857142857142,1.916,0.0364,25.49,27.14,Overpaid,20.9,33.2,60
108,Jarrett Allen,CLE,C,27.0,20.0,1.8,6.4,2.6,0.09,1.0864864864864865,0.714,0.0357,19.22,0.78,Good Value,15.4,27.1,56
109,Bam Adebayo,MIA,C,28.0,37.1,2.4,6.4,2.0,0.0647,1.0864864864864865,1.314,0.0354,22.98,14.12,Poor Value,20.1,32.4,73
110,Devin Booker,PHO,SG,29.0,53.14,2.3,6.5,2.2,0.0433,0.4457142857142857,1.854,0.0349,22.36,30.78,Overpaid,26.1,33.5,64
111,Collin Sexton,CHI,SG,27.0,18.98,1.1,3.9,0.6,0.058,0.4457142857142857,0.654,0.0345,14.84,4.14,Good Value,15.4,23.7,68
112,Onyeka Okongwu,ATL,C,25.0,15.0,1.6,6.0,0.7,0.1067,1.0864864864864865,0.514,0.0343,17.97,-2.97,Good Value,15.2,31.0,74
113,Tobias Harris,DET,PF,33.0,26.63,1.5,5.3,1.4,0.0563,0.61375,0.886,0.0333,17.34,9.29,Poor Value,13.3,27.7,63
114,Michael Porter Jr.,BRK,SF,27.0,38.33,2.1,2.9,3.0,0.0548,0.8842857142857142,1.216,0.0317,21.1,17.23,Overpaid,24.2,32.5,52
115,Devin Vassell,SAS,SG,25.0,27.0,1.3,4.9,0.5,0.0481,0.4457142857142857,0.854,0.0316,16.09,10.91,Poor Value,13.9,30.5,67
116,Alex Caruso,OKC,SG,31.0,18.1,1.0,2.5,1.9,0.0552,0.4457142857142857,0.554,0.0306,14.21,3.89,Good Value,6.2,18.2,56
116,Matisse Thybulle,POR,SG,28.0,11.55,0.8,1.3,4.4,0.0693,0.4457142857142857,0.354,0.0306,12.96,-1.41,Good Value,5.8,16.0,30
118,Sam Merrill,CLE,SG,29.0,8.48,0.7,3.7,0.1,0.0825,0.4457142857142857,0.254,0.03,12.33,-3.85,Good Value,12.8,26.5,52
119,Keldon Johnson,SAS,SF,26.0,17.5,1.4,6.4,0.9,0.08,0.8842857142857142,0.516,0.0295,16.72,0.78,Good Value,13.2,23.3,82
120,Andrew Wiggins,MIA,SF,30.0,28.22,1.7,4.6,1.2,0.0602,0.8842857142857142,0.816,0.0289,18.6,9.62,Poor Value,15.4,30.3,68
121,Santi Aldama,MEM,PF,25.0,18.49,1.1,2.3,1.7,0.0595,0.61375,0.486,0.0263,14.84,3.65,Good Value,14.0,27.9,43
122,Jimmy Butler,GSW,SF,36.0,54.13,2.3,5.7,5.5,0.0425,0.8842857142857142,1.416,0.0262,22.36,31.77,Overpaid,20.0,31.1,38
123,Stephen Curry,GSW,PG,37.0,59.61,2.5,4.1,5.4,0.0419,0.9902777777777777,1.51,0.0253,23.61,36.0,Overpaid,26.6,30.9,43
124,Isaiah Hartenstein,OKC,C,27.0,28.5,1.8,5.3,4.2,0.0632,1.0864864864864865,0.714,0.0251,19.22,9.28,Poor Value,9.2,24.2,47
125,Nikola Vučević,BOS,C,35.0,21.48,1.6,4.4,1.5,0.0745,1.0864864864864865,0.514,0.0239,17.97,3.51,Good Value,15.1,28.4,64
126,Landry Shamet,NYK,SG,28.0,2.3,0.5,2.6,-0.3,0.2174,0.4457142857142857,0.054,0.0235,11.08,-8.78,Good Value,9.3,23.0,51
127,Jabari Smith Jr.,HOU,PF,22.0,12.35,0.9,6.6,-0.7,0.0729,0.61375,0.286,0.0232,13.58,-1.23,Good Value,15.8,35.1,77
128,Jalen Suggs,ORL,PG,24.0,35.0,1.8,2.7,2.5,0.0514,0.9902777777777777,0.81,0.0231,19.22,15.78,Overpaid,13.8,27.6,57
129,Moses Moody,GSW,SG,23.0,11.57,0.7,3.1,-0.1,0.0605,0.4457142857142857,0.254,0.022,12.33,-0.76,Good Value,12.1,25.7,60
130,Brandon Ingram,TOR,SF,28.0,38.1,1.7,4.6,0.5,0.0446,0.8842857142857142,0.816,0.0214,18.6,19.5,Overpaid,21.5,33.8,77
